problem,framework,model,activation,depth,width,m_train,seed,final_train_loss,relative_test_error,training_time_sec
diffusion_affine_d4,pytorch,mlp_4x40_relu,relu,4,40,10,0,4.642903513740748e-05,0.7644993662834167,3.441335600000457
diffusion_affine_d4,pytorch,mlp_4x40_relu,relu,4,40,10,1,6.651596777373925e-05,0.5484832525253296,3.596103800009587
diffusion_affine_d4,pytorch,mlp_4x40_relu,relu,4,40,10,2,3.0316505217342637e-05,0.7061519026756287,3.0690295999957016
diffusion_affine_d4,pytorch,mlp_4x40_relu,relu,4,40,20,0,3.430266588111408e-05,0.40417948365211487,3.402684300002875
diffusion_affine_d4,pytorch,mlp_4x40_relu,relu,4,40,20,1,2.341933941352181e-05,0.43129435181617737,3.6577950000064448
diffusion_affine_d4,pytorch,mlp_4x40_relu,relu,4,40,20,2,2.271487028338015e-05,0.47162702679634094,3.4634405999968294
diffusion_affine_d4,pytorch,mlp_4x40_relu,relu,4,40,50,0,2.6315117793274112e-05,0.18822081387043,3.831717299995944
diffusion_affine_d4,pytorch,mlp_4x40_relu,relu,4,40,50,1,2.9216056645964272e-05,0.23917753994464874,3.2878245000028983
diffusion_affine_d4,pytorch,mlp_4x40_relu,relu,4,40,50,2,3.457536513451487e-05,0.17945104837417603,3.5999426000053063
diffusion_affine_d4,pytorch,mlp_4x40_relu,relu,4,40,100,0,3.642531009973027e-05,0.09174369275569916,3.8995700999948895
diffusion_affine_d4,pytorch,mlp_4x40_relu,relu,4,40,100,1,8.467256702715531e-05,0.13620631396770477,3.534247999996296
diffusion_affine_d4,pytorch,mlp_4x40_relu,relu,4,40,100,2,2.5829440346569754e-05,0.10835257917642593,4.002168899998651
diffusion_affine_d4,pytorch,mlp_4x40_relu,relu,4,40,200,0,2.4178885723813437e-05,0.046305250376462936,4.345367799993255
diffusion_affine_d4,pytorch,mlp_4x40_relu,relu,4,40,200,1,6.005925752106123e-05,0.06412356346845627,3.977131500010728
diffusion_affine_d4,pytorch,mlp_4x40_relu,relu,4,40,200,2,2.2039695977582596e-05,0.03603394329547882,3.9610645000066143
diffusion_affine_d4,pytorch,mlp_4x40_relu,relu,4,40,500,0,7.127566641429439e-05,0.034172847867012024,5.13484129999415
diffusion_affine_d4,pytorch,mlp_4x40_relu,relu,4,40,500,1,6.0921905969735235e-05,0.0335337296128273,4.738672699997551
diffusion_affine_d4,pytorch,mlp_4x40_relu,relu,4,40,500,2,3.25585097016301e-05,0.026901641860604286,4.4075651000021026
